date12,confirm cases,death,recovery,active cases
31/05/2022,4,0,6,14
30/05/2022,4,0,7,16
29/05/2022,0,0,1,19
28/05/2022,0,0,0,20
27/05/2022,3,0,4,20
26/05/2022,3,0,3,19
25/05/2022,6,0,19,19
24/05/2022,6,0,5,14
23/05/2022,0,0,5,13
22/05/2022,3,0,5,18
21/05/2022,3,0,1,20
20/05/2022,2,0,1,18
19/05/2022,4,0,7,17
18/05/2022,5,0,4,20
17/05/2022,6,0,3,19
16/05/2022,1,0,3,16
15/05/2022,1,0,2,18
14/05/2022,5,0,1,19
13/05/2022,5,0,5,15
12/5/2022,4,0,2,15
11/5/2022,3,0,3,13
10/5/2022,2,0,2,13
9/5/2022,1,0,0,13
8/5/2022,5,0,0,12
7/5/2022,2,0,2,7
6/5/2022,3,0,2,7
5/5/2022,2,0,2,6
4/5/2022,0,0,2,6
3/5/2022,0,0,0,8
2/5/2022,2,0,1,8
1/5/2022,2,0,1,7
30/04/2022,0,0,0,6
29/04/2022,2,0,0,6
28/04/2022,2,0,1,4
27/04/2022,1,0,0,3
26/04/2022,0,0,0,2
25/04/2022,1,0,0,2
24/04/2022,0,0,2,1
23/04/2022,0,0,2,3
22/04/2022,1,0,1,5
21/04/2022,0,0,0,5
20/04/2022,0,0,1,5
19/04/2022,2,0,2,6
18/04/2022,2,0,0,6
17/04/2022,1,0,0,4
16/04/2022,0,0,1,3
15/04/2022,1,0,2,4
14/04/2022,0,0,0,5
13/04/2022,1,0,2,5
12/4/2022,0,0,2,6
11/4/2022,0,0,0,8
10/4/2022,2,0,2,8
9/4/2022,0,0,0,8
8/4/2022,2,0,0,8
7/4/2022,1,0,1,6
6/4/2022,2,0,3,6
5/4/2022,1,0,1,7
4/4/2022,2,0,1,7
3/4/2022,0,0,0,6
2/4/2022,0,0,1,6
1/4/2022,1,0,0,7
31/03/2022,2,0,0,6
30/03/2022,1,0,0,7
29/03/2022,1,0,0,7
28/03/2022,0,0,2,6
27/03/2022,1,0,1,8
26/03/2022,0,0,1,8
25/03/2022,0,0,1,9
24/03/2022,4,1,8,10
23/03/2022,2,0,5,14
22/03/2022,1,0,2,17
21/03/2022,1,0,4,18
20/03/2022,1,0,4,21
19/03/2022,2,0,4,24
18/03/2022,6,0,3,25
17/03/2022,5,0,3,23
16/03/2022,2,0,3,21
15/03/2022,3,0,2,22
14/03/2022,4,1,5,21
13/03/2022,3,0,2,23
12/3/2022,2,0,2,22
11/3/2022,3,0,7,22
10/3/2022,3,1,2,26
9/3/2022,3,0,2,26
8/3/2022,3,0,3,25
7/3/2022,4,0,6,25
6/3/2022,5,0,12,27
5/3/2022,5,0,9,34
4/3/2022,2,0,22,38
3/3/2022,6,0,26,58
2/3/2022,2,0,16,78
1/3/2022,1,1,27,92
